TX,79936,Texas
CA,90011,California
NY,11226,New York
NJ,08701,New Jersey
TN,37211,Tennessee
GA,30043,Georgia
VA,22193,Virginia
NV,89110,Nevada
AZ,85364,Arizona
NM,87121,New Mexico
AK,99504,Alaska
AL,35242,Alabama
AR,72764,Arkansas
CO,80013,Colorado
CT,06902,Connecticut
DC,20011,District of Columbia
DE,19720,Delaware
FL,33012,Florida
HI,96797,Hawaii
IA,52001,Iowa
ID,83301,Idaho
IL,60629,Illinois
IN,46307,Indiana
KY,40475,Kentucky
LA,70072,Louisiana
MA,02301,Massachusetts
MD,20906,Maryland
ME,04401,Maine
MI,48180,Michigan
MN,55106,Minnesota
MO,63376,Missouri
MS,39503,Mississippi
MT,59901,Montana
NC,28269,North Carolina
ND,58103,North Dakota
KS,66062,Kansas
NE,68516,Nebraska
NH,03103,New Hampshire
OH,45011,Ohio
OK,73099,Oklahoma
OR,97007,Oregon
PA,19120,Pennsylvania
RI,02860,Rhode Island
SC,29483,South Carolina
SD,57106,South Dakota
UT,84015,Utah
D.C.,20011,Washington D.C.
VT,05401,Vermont
WA,99301,Washington
WI,53215,Wisconsin
WV,26003,West Virginia
WY,82001,Wyoming
